hostname,socks5_hostname,socks5_endpoint,city,country,provider,ipv4,ipv6
al-tia-wg-003,al-tia-wg-socks5-003,al-tia-wg-socks5-003.relays.mullvad.net:1080,Tirana,Albania,iRegister,103.124.165.130,2a04:27c0:0:c::f001
al-tia-wg-004,al-tia-wg-socks5-004,al-tia-wg-socks5-004.relays.mullvad.net:1080,Tirana,Albania,iRegister,103.124.165.191,2a04:27c0:0:d::f001
ar-bue-wg-001,ar-bue-wg-socks5-001,ar-bue-wg-socks5-001.relays.mullvad.net:1080,Buenos Aires,Argentina,DataPacket,149.22.83.2,2a02:6ea0:f002:1::f001
ar-bue-wg-002,ar-bue-wg-socks5-002,ar-bue-wg-socks5-002.relays.mullvad.net:1080,Buenos Aires,Argentina,DataPacket,149.22.83.31,2a02:6ea0:f002:2::f001
au-adl-wg-302,au-adl-wg-socks5-302,au-adl-wg-socks5-302.relays.mullvad.net:1080,Adelaide,Australia,hostuniversal,103.214.20.130,2404:f780:0:dec::c2f
au-bne-wg-301,au-bne-wg-socks5-301,au-bne-wg-socks5-301.relays.mullvad.net:1080,Brisbane,Australia,hostuniversal,103.216.220.18,2404:f780:4:deb::f001
au-bne-wg-302,au-bne-wg-socks5-302,au-bne-wg-socks5-302.relays.mullvad.net:1080,Brisbane,Australia,hostuniversal,103.216.220.34,2404:f780:4:dec::a02f
au-mel-wg-302,au-mel-wg-socks5-302,au-mel-wg-socks5-302.relays.mullvad.net:1080,Melbourne,Australia,hostuniversal,103.108.229.66,2406:d501:f:dec::a02f
au-per-wg-301,au-per-wg-socks5-301,au-per-wg-socks5-301.relays.mullvad.net:1080,Perth,Australia,hostuniversal,103.108.231.50,2404:f780:8:deb::a01f
au-per-wg-302,au-per-wg-socks5-302,au-per-wg-socks5-302.relays.mullvad.net:1080,Perth,Australia,hostuniversal,103.108.231.66,2404:f780:8:dec::f001
au-syd-wg-001,au-syd-wg-socks5-001,au-syd-wg-socks5-001.relays.mullvad.net:1080,Sydney,Australia,M247,146.70.200.2,2001:ac8:84:5::f001
au-syd-wg-002,au-syd-wg-socks5-002,au-syd-wg-socks5-002.relays.mullvad.net:1080,Sydney,Australia,M247,146.70.141.194,2001:ac8:84:6::2f
au-syd-wg-003,au-syd-wg-socks5-003,au-syd-wg-socks5-003.relays.mullvad.net:1080,Sydney,Australia,M247,146.70.200.194,2001:ac8:84:4::3f
au-syd-wg-101,au-syd-wg-socks5-101,au-syd-wg-socks5-101.relays.mullvad.net:1080,Sydney,Australia,xtom,103.136.147.3,2a11:3:500::f001
au-syd-wg-102,au-syd-wg-socks5-102,au-syd-wg-socks5-102.relays.mullvad.net:1080,Sydney,Australia,xtom,103.136.147.65,2a11:3:500::f101
au-syd-wg-103,au-syd-wg-socks5-103,au-syd-wg-socks5-103.relays.mullvad.net:1080,Sydney,Australia,xtom,103.136.147.129,2a11:3:500::f201
au-syd-wg-104,au-syd-wg-socks5-104,au-syd-wg-socks5-104.relays.mullvad.net:1080,Sydney,Australia,xtom,103.136.147.197,2a11:3:500::f301
au-syd-wg-301,au-syd-wg-socks5-301,au-syd-wg-socks5-301.relays.mullvad.net:1080,Sydney,Australia,HostRoyale,103.120.6.2,2a06:3040:18:210::f001
au-syd-wg-302,au-syd-wg-socks5-302,au-syd-wg-socks5-302.relays.mullvad.net:1080,Sydney,Australia,HostRoyale,103.120.6.127,2a06:3040:18:210::f101
